,area,customer rating,eatType,familyFriendly,food,name,near,priceRange
103,riverside,,pub,yes,Italian,The Olive Grove,,cheap
104,city centre,average,,,Fast food,The Phoenix,,
105,city centre,average,coffee shop,,Fast food,The Golden Palace,,high
106,riverside,5 out of 5,coffee shop,,Italian,Cotto,The Portland Arms,cheap
107,,,restaurant,yes,English,Loch Fyne,,moderate
108,,low,,yes,Japanese,The Wrestlers,,less than £20
109,riverside,low,coffee shop,yes,Italian,Browns Cambridge,Crowne Plaza Hotel,
110,,average,,,Fast food,Midsummer House,All Bar One,cheap
111,city centre,3 out of 5,,yes,Chinese,The Rice Boat,Express by Holiday Inn,moderate
112,,average,,yes,Chinese,Cotto,Ranch,
113,,1 out of 5,,yes,Italian,The Wrestlers,,moderate
114,riverside,average,pub,,,Clowns,,high
115,,,restaurant,,Japanese,The Dumpling Tree,,less than £20
116,,high,,no,French,Strada,Rainbow Vegetarian Café,£20-25
117,riverside,low,,,French,The Phoenix,,
118,riverside,,coffee shop,yes,Fast food,The Wrestlers,Raja Indian Cuisine,less than £20
119,,,restaurant,,French,The Dumpling Tree,,£20-25
120,city centre,,coffee shop,,Indian,The Mill,The Sorrento,moderate
121,,average,,,Japanese,Midsummer House,Café Rouge,
122,riverside,,pub,,Chinese,The Mill,,more than £30
123,,5 out of 5,pub,yes,,The Cricketers,Ranch,
124,,5 out of 5,,yes,Italian,The Golden Curry,,
125,riverside,5 out of 5,,no,Italian,The Rice Boat,Express by Holiday Inn,cheap
126,riverside,5 out of 5,coffee shop,yes,,Blue Spice,Avalon,more than £30
127,,,restaurant,yes,Indian,Loch Fyne,,more than £30
128,,low,,no,,Strada,,less than £20
129,riverside,,pub,,Italian,The Mill,,cheap
130,,high,,,Chinese,Browns Cambridge,,more than £30
131,,,restaurant,no,,Travellers Rest Beefeater,,moderate
132,,5 out of 5,pub,,Chinese,Strada,Yippee Noodle Bar,
133,,1 out of 5,,yes,French,The Golden Curry,,
134,riverside,1 out of 5,,,French,Loch Fyne,The Rice Boat,
135,city centre,high,,no,Japanese,The Rice Boat,Express by Holiday Inn,£20-25
136,city centre,5 out of 5,,yes,French,The Waterman,,cheap
137,,high,pub,,Japanese,Strada,Yippee Noodle Bar,
138,,3 out of 5,coffee shop,yes,French,The Punter,Café Sicilia,high
139,riverside,,pub,,Fast food,The Mill,,cheap
140,riverside,3 out of 5,coffee shop,no,,Zizzi,,high
141,riverside,,coffee shop,,Italian,The Mill,The Sorrento,moderate
142,riverside,average,pub,,French,The Waterman,,
143,,,restaurant,,Italian,The Dumpling Tree,,less than £20
144,city centre,3 out of 5,,yes,Chinese,The Waterman,,moderate
145,,5 out of 5,,,,The Rice Boat,Rainbow Vegetarian Café,more than £30
146,,high,,yes,Chinese,The Wrestlers,,£20-25
147,riverside,3 out of 5,coffee shop,,Italian,The Golden Palace,,moderate
148,riverside,average,,,English,The Phoenix,,
149,city centre,average,,,,The Eagle,,less than £20
150,,1 out of 5,restaurant,,,Taste of Cambridge,,moderate
151,riverside,3 out of 5,coffee shop,yes,,Zizzi,,moderate
152,,1 out of 5,,no,Italian,The Wrestlers,,moderate
153,riverside,average,,,Italian,The Phoenix,,cheap
154,,average,,yes,,Fitzbillies,Express by Holiday Inn,cheap
155,riverside,5 out of 5,,,French,Alimentum,Yippee Noodle Bar,more than £30
156,,low,,no,Italian,The Wrestlers,,less than £20
157,city centre,average,coffee shop,yes,Japanese,Browns Cambridge,Crowne Plaza Hotel,
158,,1 out of 5,pub,yes,,The Cricketers,Ranch,
159,,1 out of 5,coffee shop,yes,Italian,The Punter,Café Sicilia,moderate
160,riverside,high,,no,Indian,The Rice Boat,Express by Holiday Inn,£20-25
161,city centre,high,,,Fast food,The Phoenix,,£20-25
162,city centre,,,,Italian,Bibimbap House,Clare Hall,high
163,city centre,low,coffee shop,no,Japanese,Fitzbillies,,more than £30
164,,,restaurant,yes,French,Loch Fyne,,more than £30
165,riverside,,,,Italian,Blue Spice,,more than £30
166,,low,coffee shop,no,Japanese,The Punter,Café Sicilia,less than £20
167,city centre,,coffee shop,,Indian,The Mill,The Sorrento,less than £20
168,riverside,low,,,Italian,The Phoenix,,less than £20
169,riverside,,,,Chinese,The Rice Boat,,
170,riverside,1 out of 5,coffee shop,yes,,Zizzi,,high
171,riverside,1 out of 5,,yes,English,The Waterman,,moderate
172,riverside,5 out of 5,,no,Fast food,The Waterman,,cheap
173,riverside,,pub,no,Fast food,The Olive Grove,,less than £20
174,riverside,3 out of 5,coffee shop,yes,French,Fitzbillies,,£20-25
175,riverside,,,,Chinese,Blue Spice,,less than £20
176,riverside,low,coffee shop,,Italian,The Golden Palace,,less than £20
177,riverside,1 out of 5,,yes,Indian,The Golden Curry,Café Rouge,
178,,low,,,,The Rice Boat,Rainbow Vegetarian Café,more than £30
179,riverside,average,,,Italian,The Phoenix,,cheap
180,riverside,average,,yes,Japanese,The Golden Curry,Café Rouge,
181,riverside,,pub,,Fast food,The Mill,,high
182,,,restaurant,yes,Chinese,Loch Fyne,,
183,,,pub,yes,Italian,The Dumpling Tree,The Portland Arms,
184,riverside,,,yes,Fast food,Green Man,All Bar One,moderate
185,,high,,,,Browns Cambridge,,£20-25
186,riverside,,,,Indian,Bibimbap House,The Rice Boat,
187,,1 out of 5,coffee shop,yes,Japanese,Cocum,,moderate
188,city centre,low,coffee shop,yes,Indian,Aromi,,
189,,1 out of 5,pub,,English,Strada,Yippee Noodle Bar,
190,riverside,1 out of 5,,,Italian,Alimentum,Yippee Noodle Bar,moderate
191,city centre,5 out of 5,,,Fast food,Alimentum,Yippee Noodle Bar,cheap
192,riverside,1 out of 5,coffee shop,yes,Indian,The Eagle,Burger King,high
193,,,restaurant,yes,,Travellers Rest Beefeater,,high
194,riverside,,,yes,Italian,Alimentum,,£20-25
195,,3 out of 5,coffee shop,yes,French,The Punter,Café Sicilia,£20-25
196,riverside,1 out of 5,coffee shop,,Japanese,The Golden Palace,,moderate
197,,average,,yes,Indian,Strada,Rainbow Vegetarian Café,high
198,city centre,,,,Chinese,Bibimbap House,Clare Hall,moderate
199,riverside,low,coffee shop,yes,Italian,Aromi,,
200,,average,,,,Browns Cambridge,,high
201,riverside,average,coffee shop,yes,,Zizzi,,less than £20
202,riverside,,,yes,,The Punter,The Portland Arms,cheap
203,,,,no,French,The Golden Curry,The Bakers,less than £20
204,riverside,1 out of 5,,no,Indian,The Waterman,,high
205,,,restaurant,,Italian,The Dumpling Tree,,cheap
206,,low,,yes,,Strada,,more than £30
207,,5 out of 5,,,French,Midsummer House,Café Rouge,
208,,high,,,Italian,Midsummer House,All Bar One,more than £30
209,riverside,,coffee shop,no,Italian,The Wrestlers,Raja Indian Cuisine,less than £20
210,city centre,low,coffee shop,,French,The Golden Palace,,more than £30
211,,1 out of 5,coffee shop,no,Indian,Cocum,,moderate
212,riverside,,pub,yes,Fast food,The Olive Grove,,£20-25
213,city centre,5 out of 5,,,Japanese,Loch Fyne,The Rice Boat,
214,,1 out of 5,,,Italian,Midsummer House,All Bar One,high
215,riverside,5 out of 5,,yes,French,The Rice Boat,Express by Holiday Inn,cheap
216,riverside,,,no,Indian,Green Man,All Bar One,less than £20
217,riverside,,pub,,Japanese,Green Man,Café Rouge,
218,,,pub,yes,English,The Plough,Café Rouge,high
219,city centre,low,,yes,,The Twenty Two,The Rice Boat,more than £30
220,,high,pub,yes,,Cocum,,more than £30
221,,low,,yes,English,The Wrestlers,,less than £20
222,riverside,low,,yes,Italian,The Rice Boat,,
223,city centre,high,,yes,Chinese,The Rice Boat,Express by Holiday Inn,more than £30
224,riverside,5 out of 5,coffee shop,,Japanese,Cotto,The Portland Arms,more than £30
225,,average,,,Chinese,Browns Cambridge,,high
226,,,,,French,The Punter,,£20-25
227,riverside,average,,,Chinese,Alimentum,Yippee Noodle Bar,high
228,,1 out of 5,coffee shop,no,Indian,The Punter,Café Sicilia,high
229,,,pub,no,English,The Plough,Café Rouge,high
230,,1 out of 5,,no,Indian,The Wrestlers,,high
231,,low,restaurant,,English,The Cambridge Blue,,
232,,low,coffee shop,,Indian,Wildwood,Ranch,less than £20
233,riverside,1 out of 5,,yes,,The Twenty Two,The Rice Boat,high
234,,5 out of 5,pub,yes,Italian,Zizzi,,
235,riverside,1 out of 5,,yes,Japanese,The Golden Curry,Café Rouge,
236,,high,,yes,Japanese,Cotto,Ranch,
237,,,,no,Fast food,The Twenty Two,,
238,,,,,Chinese,Fitzbillies,The Six Bells,high
239,,5 out of 5,pub,yes,,Cocum,,cheap
240,riverside,average,coffee shop,,Fast food,Clowns,Clare Hall,
241,riverside,high,,yes,Indian,The Rice Boat,Express by Holiday Inn,more than £30
242,riverside,1 out of 5,coffee shop,,Indian,Cotto,The Portland Arms,high
243,,3 out of 5,coffee shop,,Japanese,Wildwood,Ranch,£20-25
244,riverside,high,,yes,Chinese,The Waterman,,£20-25
245,,low,,yes,French,Strada,Rainbow Vegetarian Café,more than £30
246,riverside,5 out of 5,,,French,Loch Fyne,The Rice Boat,
247,riverside,,pub,,,The Golden Palace,Rainbow Vegetarian Café,less than £20
248,,low,coffee shop,yes,Japanese,The Punter,Café Sicilia,more than £30
249,,3 out of 5,,,Japanese,Midsummer House,Café Rouge,
250,riverside,5 out of 5,coffee shop,,Fast food,Cotto,The Portland Arms,cheap
251,,,restaurant,,,Giraffe,The Six Bells,cheap
252,riverside,5 out of 5,,yes,Chinese,The Rice Boat,,
253,city centre,1 out of 5,,yes,Fast food,The Waterman,,moderate
254,riverside,high,,no,French,The Waterman,,£20-25
255,city centre,3 out of 5,,no,Italian,The Rice Boat,Express by Holiday Inn,moderate
256,,,,no,English,The Golden Curry,The Bakers,moderate
257,riverside,3 out of 5,,yes,,The Twenty Two,The Rice Boat,moderate
258,,,restaurant,no,English,Loch Fyne,,moderate
259,riverside,,,yes,French,Browns Cambridge,The Sorrento,
260,riverside,1 out of 5,coffee shop,yes,French,Aromi,,
261,,,restaurant,yes,Indian,Loch Fyne,,moderate
262,,3 out of 5,pub,yes,English,Zizzi,,
263,city centre,high,,no,Indian,The Rice Boat,Express by Holiday Inn,£20-25
264,riverside,3 out of 5,,no,French,The Rice Boat,Express by Holiday Inn,high
265,,5 out of 5,,,English,Browns Cambridge,,cheap
266,,average,coffee shop,yes,French,Cocum,,less than £20
267,,high,,no,English,Strada,Rainbow Vegetarian Café,more than £30
268,city centre,,,,Fast food,The Rice Boat,,
269,city centre,,pub,no,French,Giraffe,,
270,,,,,Fast food,Fitzbillies,The Six Bells,£20-25
271,city centre,,,no,Italian,Alimentum,,high
272,,,,no,Fast food,The Twenty Two,,
273,riverside,high,,yes,Italian,The Waterman,,more than £30
274,riverside,,,,English,Bibimbap House,The Rice Boat,
275,city centre,,restaurant,,Indian,Aromi,,
276,riverside,,pub,no,Indian,The Olive Grove,,less than £20
277,city centre,average,,,Indian,The Phoenix,,cheap
278,,,restaurant,yes,,Wildwood,,
279,city centre,5 out of 5,coffee shop,no,French,Aromi,,
280,,average,,yes,English,Strada,Rainbow Vegetarian Café,cheap
281,,,pub,yes,Italian,The Plough,Café Rouge,less than £20
282,city centre,,,no,English,Green Man,All Bar One,less than £20
283,,5 out of 5,restaurant,,French,The Cambridge Blue,,
284,city centre,low,pub,,French,The Waterman,,
285,riverside,3 out of 5,,,Chinese,Loch Fyne,The Rice Boat,
286,,,pub,no,English,The Plough,Café Rouge,less than £20
287,,,restaurant,yes,Fast food,Loch Fyne,,less than £20
288,riverside,high,coffee shop,,English,Cotto,The Portland Arms,more than £30
289,city centre,1 out of 5,,,Fast food,Alimentum,Yippee Noodle Bar,high
290,riverside,low,coffee shop,yes,Japanese,Browns Cambridge,Crowne Plaza Hotel,
291,riverside,average,,yes,Italian,The Rice Boat,Express by Holiday Inn,high
292,,low,,no,Italian,The Golden Curry,,
293,,5 out of 5,coffee shop,,French,Wildwood,Ranch,cheap
294,,5 out of 5,restaurant,,Fast food,The Cambridge Blue,,
295,,1 out of 5,,,Japanese,Midsummer House,Café Rouge,
296,,average,,no,English,The Wrestlers,,cheap
297,city centre,3 out of 5,,no,Japanese,The Waterman,,£20-25
298,,5 out of 5,,,French,The Eagle,,
299,,average,coffee shop,yes,Fast food,The Cricketers,The Portland Arms,
300,riverside,3 out of 5,,no,Italian,The Waterman,,moderate
301,city centre,,coffee shop,yes,,The Dumpling Tree,Café Sicilia,less than £20
302,riverside,5 out of 5,coffee shop,,,The Vaults,Café Brazil,cheap
303,,,,,French,Fitzbillies,The Six Bells,£20-25
304,city centre,1 out of 5,coffee shop,,Indian,The Golden Palace,,high
305,riverside,high,,no,Italian,The Rice Boat,Express by Holiday Inn,£20-25
306,riverside,,,,Chinese,Bibimbap House,Clare Hall,high
307,,3 out of 5,coffee shop,yes,Indian,The Punter,Café Sicilia,moderate
308,,3 out of 5,,yes,English,The Golden Curry,,
309,riverside,average,,,Fast food,The Phoenix,,high
310,riverside,1 out of 5,,,,Travellers Rest Beefeater,Café Adriatic,moderate
311,,5 out of 5,,,Indian,Browns Cambridge,,cheap
312,,,,no,Fast food,The Vaults,,less than £20
313,city centre,,pub,,English,The Mill,,high
314,riverside,3 out of 5,coffee shop,,Japanese,Cotto,The Portland Arms,high
315,city centre,1 out of 5,coffee shop,yes,Italian,Fitzbillies,,high
316,,,restaurant,,Italian,The Dumpling Tree,,cheap
317,,1 out of 5,coffee shop,no,French,Cocum,,moderate
318,,3 out of 5,coffee shop,yes,Italian,Cocum,,moderate
319,city centre,average,,yes,,Blue Spice,,less than £20
320,city centre,high,coffee shop,no,Fast food,Fitzbillies,,£20-25
321,riverside,3 out of 5,coffee shop,yes,French,Aromi,,
322,riverside,average,,yes,English,The Rice Boat,Express by Holiday Inn,cheap
323,riverside,,pub,yes,English,The Olive Grove,,moderate
324,riverside,,,yes,French,The Twenty Two,,
325,city centre,average,,yes,Chinese,The Waterman,,high
326,,,pub,yes,Chinese,The Dumpling Tree,The Portland Arms,
327,riverside,3 out of 5,,,Indian,The Phoenix,,
328,riverside,high,,no,Japanese,The Waterman,,£20-25
329,,low,pub,yes,English,Zizzi,,
330,city centre,average,coffee shop,no,French,The Eagle,Burger King,less than £20
331,riverside,average,,no,Italian,The Rice Boat,Express by Holiday Inn,cheap
332,,3 out of 5,,,Fast food,Browns Cambridge,,£20-25
333,riverside,3 out of 5,,,French,Alimentum,Yippee Noodle Bar,£20-25
334,city centre,average,,no,English,The Waterman,,high
335,riverside,,pub,no,French,Giraffe,,
336,city centre,average,,,Indian,Alimentum,Yippee Noodle Bar,cheap
337,city centre,average,,yes,Chinese,The Waterman,,cheap
338,city centre,1 out of 5,coffee shop,no,French,The Eagle,Burger King,moderate
339,,,,,English,The Punter,,moderate
340,city centre,1 out of 5,coffee shop,,,The Vaults,Café Brazil,moderate
341,riverside,5 out of 5,,,Italian,The Phoenix,,cheap
342,city centre,5 out of 5,coffee shop,no,French,Browns Cambridge,Crowne Plaza Hotel,
343,riverside,5 out of 5,,no,Chinese,The Waterman,,cheap
344,,,,yes,Italian,The Waterman,Crowne Plaza Hotel,
345,,3 out of 5,coffee shop,yes,French,The Punter,Café Sicilia,£20-25
346,riverside,1 out of 5,coffee shop,,,The Vaults,Café Brazil,moderate
347,city centre,3 out of 5,,,Chinese,Alimentum,Yippee Noodle Bar,moderate
348,city centre,average,,no,English,The Rice Boat,Express by Holiday Inn,cheap
349,,average,restaurant,yes,,Cocum,,
350,riverside,,,yes,,Green Man,,moderate
351,,5 out of 5,,no,Indian,Strada,Rainbow Vegetarian Café,cheap
352,riverside,,coffee shop,,Indian,The Mill,The Sorrento,cheap
353,city centre,,,,English,Bibimbap House,Clare Hall,moderate
354,riverside,1 out of 5,,,Italian,Loch Fyne,The Rice Boat,
355,,low,pub,,Fast food,Wildwood,,less than £20
356,city centre,low,coffee shop,no,Japanese,Fitzbillies,,more than £30
357,riverside,,,,French,Blue Spice,,more than £30
358,city centre,,,,French,Bibimbap House,The Rice Boat,
359,,,restaurant,yes,,Travellers Rest Beefeater,,£20-25
360,city centre,low,,yes,Japanese,The Rice Boat,,
361,city centre,3 out of 5,coffee shop,no,Indian,The Eagle,Burger King,moderate
362,riverside,low,coffee shop,no,Fast food,The Eagle,Burger King,less than £20
363,,1 out of 5,,,Fast food,The Eagle,,
364,,high,,,Japanese,The Eagle,,
365,city centre,3 out of 5,coffee shop,,Japanese,Cotto,The Portland Arms,high
366,city centre,,,no,Chinese,Alimentum,,less than £20
367,,low,coffee shop,yes,French,Cocum,,more than £30
368,riverside,,pub,yes,French,Giraffe,,
369,city centre,1 out of 5,coffee shop,yes,Fast food,The Eagle,Burger King,high
370,riverside,5 out of 5,,yes,Fast food,The Waterman,,cheap
371,,5 out of 5,coffee shop,no,Indian,The Cricketers,The Portland Arms,
372,riverside,average,pub,,,The Twenty Two,Café Sicilia,
373,,high,,,Chinese,Midsummer House,All Bar One,£20-25
374,riverside,average,,yes,Fast food,The Waterman,,high
375,riverside,3 out of 5,coffee shop,,,The Vaults,Café Brazil,moderate
376,,5 out of 5,coffee shop,no,Japanese,Cocum,,cheap
377,,,pub,,Japanese,The Cambridge Blue,Café Brazil,less than £20
378,riverside,,coffee shop,yes,Italian,Taste of Cambridge,Crowne Plaza Hotel,
379,riverside,,pub,,Italian,The Mill,,high
380,riverside,1 out of 5,,yes,,Blue Spice,,high
381,city centre,,,no,Japanese,Browns Cambridge,The Sorrento,
382,,1 out of 5,,,English,Midsummer House,All Bar One,moderate
383,city centre,5 out of 5,coffee shop,,Italian,Clowns,Clare Hall,
384,riverside,1 out of 5,,,Italian,The Phoenix,,
385,riverside,average,,yes,Italian,The Rice Boat,,
386,city centre,5 out of 5,coffee shop,yes,Italian,Browns Cambridge,Crowne Plaza Hotel,
387,,3 out of 5,,yes,French,Strada,Rainbow Vegetarian Café,£20-25
388,city centre,,pub,no,French,The Olive Grove,,less than £20
389,riverside,,pub,,French,The Mill,,moderate
390,,high,,yes,Fast food,Cotto,Ranch,
391,,high,,yes,Japanese,Cotto,Ranch,
392,city centre,,,,,Cotto,All Bar One,less than £20
393,city centre,,restaurant,yes,,The Olive Grove,,
394,city centre,high,coffee shop,yes,,Blue Spice,Avalon,£20-25
395,riverside,3 out of 5,coffee shop,,Japanese,Cotto,The Portland Arms,high
396,riverside,average,,,,Travellers Rest Beefeater,Café Adriatic,less than £20
397,,high,,yes,Indian,The Golden Curry,,
398,riverside,,,,Japanese,Blue Spice,,more than £30
399,,,,no,English,The Golden Curry,The Bakers,high
400,riverside,,,yes,Chinese,Alimentum,,£20-25
401,riverside,,coffee shop,yes,Japanese,The Wrestlers,Raja Indian Cuisine,moderate
402,riverside,average,pub,,English,The Waterman,,
403,city centre,,,yes,French,Green Man,All Bar One,less than £20
404,city centre,,coffee shop,yes,Indian,The Wrestlers,Raja Indian Cuisine,moderate
405,city centre,average,,,Indian,The Phoenix,,
406,,3 out of 5,,,Italian,The Eagle,,
407,,low,,yes,Indian,The Golden Curry,,
408,riverside,,pub,no,Italian,The Olive Grove,,high
409,riverside,5 out of 5,restaurant,,,The Golden Palace,,
410,city centre,low,coffee shop,no,Italian,Browns Cambridge,Crowne Plaza Hotel,
411,,,,yes,Italian,The Golden Curry,The Bakers,less than £20
412,,average,coffee shop,no,French,Cocum,,less than £20
413,,3 out of 5,,yes,Indian,Cotto,Ranch,
414,,,restaurant,yes,,The Plough,Express by Holiday Inn,
415,riverside,3 out of 5,,no,English,The Waterman,,moderate
416,,average,,yes,English,Strada,Rainbow Vegetarian Café,high
417,,1 out of 5,coffee shop,no,Fast food,The Punter,Café Sicilia,moderate
418,,low,,yes,,Fitzbillies,Express by Holiday Inn,more than £30
419,riverside,1 out of 5,pub,yes,,Aromi,,
420,,average,,,Italian,Midsummer House,All Bar One,high
421,,high,,yes,Italian,The Wrestlers,,£20-25
422,,low,,yes,Indian,Strada,Rainbow Vegetarian Café,less than £20
423,riverside,3 out of 5,coffee shop,yes,French,The Eagle,Burger King,£20-25
424,riverside,5 out of 5,pub,,Fast food,The Waterman,,
425,,1 out of 5,,,Indian,Midsummer House,All Bar One,moderate
426,,average,coffee shop,yes,,Giraffe,The Bakers,cheap
427,,average,,no,Chinese,The Wrestlers,,cheap
428,,average,coffee shop,yes,Fast food,The Punter,Café Sicilia,high
429,city centre,3 out of 5,,,French,The Phoenix,,high
430,city centre,high,,no,English,The Waterman,,more than £30
431,,low,pub,,Japanese,Strada,Yippee Noodle Bar,
432,city centre,average,coffee shop,,Japanese,The Golden Palace,,less than £20
433,riverside,,coffee shop,,Fast food,The Mill,The Sorrento,moderate
434,city centre,3 out of 5,,,French,Alimentum,Yippee Noodle Bar,£20-25
435,,low,coffee shop,yes,Italian,Cocum,,less than £20
436,riverside,1 out of 5,coffee shop,no,Japanese,The Eagle,Burger King,moderate
437,riverside,,pub,,Indian,The Mill,,more than £30
438,,,,,Italian,The Punter,,moderate
439,city centre,3 out of 5,coffee shop,yes,Japanese,The Eagle,Burger King,high
440,riverside,5 out of 5,coffee shop,,French,Cotto,The Portland Arms,more than £30
441,riverside,average,,,Italian,Loch Fyne,The Rice Boat,
442,city centre,,pub,no,English,The Olive Grove,,less than £20
443,riverside,,,,Japanese,The Rice Boat,,
444,city centre,5 out of 5,,no,Chinese,The Rice Boat,,
445,riverside,5 out of 5,coffee shop,,Japanese,Clowns,Clare Hall,
446,riverside,,coffee shop,,Indian,The Mill,The Sorrento,moderate
447,,,restaurant,,French,The Dumpling Tree,,high
448,,,,,Italian,The Punter,,high
